kataAlay,kataBaik
rpp,
pjj,pembelajaran jarak jauh
jan,jangan
emg,memang
y,ya
lu,kamu
gue,aku
gua,aku
bkn,bukan
mksudny,maksudnya
gk,gak
gni,begini
klihatan,kelihatan
trus,terus
beraaa,berasa
bgt,banget
tpi,tapi
onlen,online
yoi,ya
yooii,ya
betulll,betul
yutub,youtube
twitt,twitter
bisaa,bisa
dripada,dari pada
utk,untuk
gegara,gara-gara
donlot,mengunduh
w,aku
dah,sudah
naek,naik
abis,habis
otw,menuju
tp,tapi
bsk,besok
lg,lagi
rakan2,rekan-rekan
mengharungi,mengarungi
fizikal,fisik
mangstap,mantap
bat,banget
bet,benar
mangat,semangat
yg,yang
sadgurl,perempuan
smbil,sambil
barbar,biadab
ajigggg,anjing
apaan,apa
mlooo,mulu
grgr,gara-gara
smt,semester
ttp,tetap
yok,yuk
beritane,beritanya
nurut2,nurut-nurut
wa,whatsapp
mapel,mata pelajaran
ni,ini
kek,kayak
bosen,bosan
capek,cape
bego,bodoh
kagak,tidak
kesel,kesal
bang,mas
ak,aku
sma,sama
tbtb,tiba-tiba
wasaf,wassap
anjir, 
ngak,nggak
pen,pengen
offline,oflen
dasar2nya,dasar-dasar nya
walhasil,hasilnya
semuga,semoga
terus2an,terus-terus an
gaes,guys
cm,cuma
babay,selamat tinggal
ntah,entah
diruma,dirumah
gtau,tidak tahu
anjai,anjing
g,tidak
ad,ada
samsek,sama sekali
ppt,slide presentasi
gada,tidak ada
quiz,kuis
syalan,sialan
puyeng,pusing
receh,tidak menarik
krn,karena
bget,banget
quota,kouta
e learning,pembelajaran jarak jauh
mtk,matematika
ansos,anti sosial
yutup,youtube
masalh,masalah
game,permainan
sy,saya
sprt,seperti
ketrbtsn,keterbatasan
kyk,kayak
kayak,seperti
tjukup,cukup
bs,bisa
stay,tinggal
cri,cari
ttng,tentang
ajg,anjing
sekolah2,sekolah sekolah
aing,saya
sama2,sama-sama
kea,seperti
ato,atau
demen,suka
f2f,tatap muka
lgsng,langsung
ngirim,mengirim
smpe,sampai
typo,salah penulisan
krna,karena
cma,cuma
tak,tidak
met,selamat
miskom,salah komunikasi
mager,malas
aq,aku
pgn,pengen
mumet,pusing
@,di
adlh,adalah
afaik,as far as i know
ahaha,haha
aj,aja
ajep-ajep,dunia gemerlap
akika,aku
akkoh,aku
akuwh,aku
alay,norak
alow,halo
ambilin,ambilkan
ancur,hancur
anjrit,anjing
anter,antar
ap2,apa-apa
apasih,apa sih
apes,sial
aps,apa
aquwh,aku
asbun,asal bunyi
aseekk,asyik
asekk,asyik
asem,asam
aspal,asli tetapi palsu
astul,asal tulis
au ah,tidak mau tahu
awak,saya
ay,sayang
ayank,sayang
b4,sebelum
bakalan,akan
bandes,bantuan desa
bangedh,banget
banpol,bantuan polisi
banpur,bantuan tempur
basbang,basi
bcanda,bercanda
bdg,bandung
begajulan,nakal
beliin,belikan
bencong,banci
bentar,sebentar
ber3,bertiga
beresin,membereskan
bete,bosan
beud,banget
bg,abang
bgmn,bagaimana
bijimane,bagaimana
bintal,bimbingan mental
bkl,akan
bknnya,bukannya
blegug,bodoh
blh,boleh
bln,bulan
blum,belum
bnci,benci
