indonesian,kailinese,created_datetime
"Pada suatu waktu, didengar kabar angin bahwa di istana akan diadakan pesta adat yg disebut Posalia.","Naria satempo, ri umbana ri banua nu Madika niepera vanii-vaniina posusa nanggavia ada nosangaka Posalia",02-05-2023T20:51
Navanda mata nanggita rega nu sente,Mata saya tersilau melihat terangnya senter,02-05-2023T20:53
Cahaya lampu itu sudah bagus.,Nabelomo pevanggana nu poindo.,02-05-2023T20:55
"Dia coba menerobos permukaan laut, tetapi tidak apa-apa. Seperti berjalan di tanah kering.","Nicobana nogugu rara ntasi, le nakuya. Eva aga nolipa ri kabatana.",02-05-2023T21:06
Konz,burung,19-05-2023T10:51
"sungguh pengalaman unik, makan di tengah sawah di antara padi yang hampir menguning. dengan pilihan menu yang variatif, penyajian yang menarik dan menggugah selera.","nosumomba, mangande tatanga paruja ante pae makunimo. ante menu nadea, nodii lara mo mangande.",21-05-2023T14:34
Pelayanan bus transjakarta sangat baik,Katoratana oto transjakarta nabelo mpu.,27-05-2023T13:45
Apakah kamu orang Kaili juga?,Komiu to Kaili Muni?,28-05-2023T21:49
Hari Senin,Eo Sine,07-06-2023T13:55
Hari Selasa,Eo Salasa,07-06-2023T13:55
saya berkuliah di universitas Telkom, berimba yaku no kuliah ri universitas telkom,07-07-2023T13:48
